S. No.,Movie,Year,Director,Actors
106,Monty Python and the Holy Grail,1975,Terry Gilliam,"Graham Chapman, John Cleese"
107,Per qualche dollaro in più,1965,Sergio Leone,"Clint Eastwood, Lee Van Cleef"
108,The Apartment,1960,Billy Wilder,"Jack Lemmon, Shirley MacLaine"
109,Metropolis,1927,Fritz Lang,"Brigitte Helm, Alfred Abel"
110,L.A. Confidential,1997,Curtis Hanson,"Kevin Spacey, Russell Crowe"
111,Jodaeiye Nader az Simin,2011,Asghar Farhadi,"Payman Maadi, Leila Hatami"
112,Indiana Jones and the Last Crusade,1989,Steven Spielberg,"Harrison Ford, Sean Connery"
113,Rashômon,1950,Akira Kurosawa,"Toshirô Mifune, Machiko Kyô"
114,Up,2009,Pete Docter,"Edward Asner, Jordan Nagai"
115,All About Eve,1950,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter"
116,Batman Begins,2005,Christopher Nolan,"Christian Bale, Michael Caine"
117,Yôjinbô,1961,Akira Kurosawa,"Toshirô Mifune, Eijirô Tôno"
118,Some Like It Hot,1959,Billy Wilder,"Marilyn Monroe, Tony Curtis"
119,Unforgiven,1992,Clint Eastwood,"Clint Eastwood, Gene Hackman"
120,Der Untergang,2004,Oliver Hirschbiegel,"Bruno Ganz, Alexandra Maria Lara"
121,Die Hard,1988,John McTiernan,"Bruce Willis, Alan Rickman"
122,The Treasure of the Sierra Madre,1948,John Huston,"Humphrey Bogart, Walter Huston"
123,Heat,1995,Michael Mann,"Al Pacino, Robert De Niro"
124,Andhadhun,2018,Sriram Raghavan,"Ayushmann Khurrana, Tabu"
125,Ikiru,1952,Akira Kurosawa,"Takashi Shimura, Nobuo Kaneko"
126,Incendies,2010,Denis Villeneuve,"Lubna Azabal, Mélissa Désormeaux-Poulin"
127,Raging Bull,1980,Martin Scorsese,"Robert De Niro, Cathy Moriarty"
128,The Great Escape,1963,John Sturges,"Steve McQueen, James Garner"
129,Bacheha-Ye aseman,1997,Majid Majidi,"Mohammad Amir Naji, Amir Farrokh Hashemian"
130,Pan's Labyrinth,2006,Guillermo del Toro,"Ivana Baquero, Ariadna Gil"
131,Babam ve Oglum,2005,Çagan Irmak,"Çetin Tekindor, Fikret Kuskan"
132,Chinatown,1974,Roman Polanski,"Jack Nicholson, Faye Dunaway"
133,The Third Man,1949,Carol Reed,"Orson Welles, Joseph Cotten"
134,Tonari no Totoro,1988,Hayao Miyazaki,"Hitoshi Takagi, Noriko Hidaka"
135,Hauru no ugoku shiro,2004,Hayao Miyazaki,"Chieko Baishô, Takuya Kimura"
136,Ran,1985,Akira Kurosawa,"Tatsuya Nakadai, Akira Terao"
137,Judgment at Nuremberg,1961,Stanley Kramer,"Spencer Tracy, Burt Lancaster"
138,El secreto de sus ojos,2009,Juan José Campanella,"Ricardo Darín, Soledad Villamil"
139,The Gold Rush,1925,Charles Chaplin,"Charles Chaplin, Mack Swain"
140,The Bridge on the River Kwai,1957,David Lean,"William Holden, Alec Guinness"
141,A Beautiful Mind,2001,Ron Howard,"Russell Crowe, Ed Harris"
142,"Lock, Stock and Two Smoking Barrels",1998,Guy Ritchie,"Jason Flemyng, Dexter Fletcher"
143,Casino,1995,Martin Scorsese,"Robert De Niro, Sharon Stone"
144,"Three Billboards Outside Ebbing, Missouri",2017,Martin McDonagh,"Frances McDormand, Woody Harrelson"
145,On the Waterfront,1954,Elia Kazan,"Marlon Brando, Karl Malden"
146,Det sjunde inseglet,1957,Ingmar Bergman,"Max von Sydow, Gunnar Björnstrand"
147,Bohemian Rhapsody,2018,Bryan Singer,"Rami Malek, Lucy Boynton"
148,Inside Out,2015,Pete Docter,"Amy Poehler, Bill Hader"
149,The Elephant Man,1980,David Lynch,"Anthony Hopkins, John Hurt"
150,The Wolf of Wall Street,2013,Martin Scorsese,"Leonardo DiCaprio, Jonah Hill"
151,Room,2015,Lenny Abrahamson,"Brie Larson, Jacob Tremblay"
152,V for Vendetta,2005,James McTeigue,"Hugo Weaving, Natalie Portman"
153,Mr. Smith Goes to Washington,1939,Frank Capra,"James Stewart, Jean Arthur"
154,Warrior,2011,Gavin O'Connor,"Tom Hardy, Nick Nolte"
155,Blade Runner,1982,Ridley Scott,"Harrison Ford, Rutger Hauer"
156,Dial M for Murder,1954,Alfred Hitchcock,"Ray Milland, Grace Kelly"
157,Smultronstället,1957,Ingmar Bergman,"Victor Sjöström, Bibi Andersson"
158,The General,1926,Clyde Bruckman,"Buster Keaton, Marion Mack"
159,No Country for Old Men,2007,Ethan Coen,"Tommy Lee Jones, Javier Bardem"
160,Trainspotting,1996,Danny Boyle,"Ewan McGregor, Ewen Bremner"
161,There Will Be Blood,2007,Paul Thomas Anderson,"Daniel Day-Lewis, Paul Dano"
162,The Sixth Sense,1999,M. Night Shyamalan,"Bruce Willis, Haley Joel Osment"
163,Gone with the Wind,1939,Victor Fleming,"Clark Gable, Vivien Leigh"
164,The Thing,1982,John Carpenter,"Kurt Russell, Wilford Brimley"
165,Fargo,1996,Joel Coen,"William H. Macy, Frances McDormand"
166,Gran Torino,2008,Clint Eastwood,"Clint Eastwood, Bee Vang"
167,Finding Nemo,2003,Andrew Stanton,"Albert Brooks, Ellen DeGeneres"
168,The Deer Hunter,1978,Michael Cimino,"Robert De Niro, Christopher Walken"
169,Idi i smotri,1985,Elem Klimov,"Aleksey Kravchenko, Olga Mironova"
170,Sherlock Jr.,1924,Buster Keaton,"Buster Keaton, Kathryn McGuire"
171,The Big Lebowski,1998,Joel Coen,"Jeff Bridges, John Goodman"
172,Shutter Island,2010,Martin Scorsese,"Leonardo DiCaprio, Emily Mortimer"
